Comune;Istat_comune;Anno;Dato relativo a:;Popolazione;Altro RD(t);Ingombranti Misti(t);Carta e Cartone(t);Frazione Organica(t);Legno(t);Metallo(t);Plastica(t);RAEE(t);Selettiva(t);Tessili(t);Vetro(t)
Alessandria;01006003;2013;CONSORZIO DI BACINO ALESSANDRINO;300.720;911,317;2190,684;9176,519;13694,97;1588,489;614,875;3673,6079999999997;899,933;127,331;340,34000000000003;5086,359;
Alfiano Natta;01006004;2010;Comune;772;0,035;5,3892;38,818;18,13;0;0,02;24,576;4,015;0,28900000000000003;1,47;50,7;
Alfiano Natta;01006004;2011;Comune;754;0,68;5,238;39,97;20,09;0;0,24;13,78;3,15;0,253;2,28;49,57;
Alfiano Natta;01006004;2012;Comune;745;0,32;30,305;35,44;18,57;0;0;23,255;4,17;0,275;1,76;43,54;
Alfiano Natta;01006004;2013;Comune;748;0,07;0;39,21;15,51;0;0;29,29;3,5100000000000002;0,41000000000000003;0;47;
Alice Bel Colle;01006005;2010;Comune;781;1,14;6,744;42,395399999999995;20,28;11,3651;0;1,8475;0;0,14;0;40,77;
Alice Bel Colle;01006005;2011;Comune;774;5,08;6,096;39,2693;17,72;20,2498;0;1,885;2,52;0,74;0;39,46;
Alice Bel Colle;01006005;2012;CONSORZIO SERVIZI RIFIUTI DEL NOVESE;TORTONESE;ACQUESE ED OVADESE';3267,33;10439,967;19411,949999999997;1027,5062;608,3956000000001;4428,1061;496,61;67,59199999999998;247,051;7543,4768;
Alice Bel Colle;01006005;2013;CONSORZIO SERVIZI RIFIUTI DEL NOVESE;TORTONESE;ACQUESE ED OVADESE';3222,86;10757,26;19062,23;1347,31;788,9680000000001;4456,94;575,765;92,07199999999999;247,198;7051,6449999999995;
Alluvioni Cambiò;01006006;2010;Comune;986;0;8,604;46,1032;50,76;120,3747;0;2,2291;3,62;0,29400000000000004;0;26,14;
Alluvioni Cambiò;01006006;2011;Comune;961;0;6,552;41,5679;197,32;11,9733;0;1,9956;4,06;0,3;0;25;
Alluvioni Cambiò;01006006;2012;CONSORZIO SERVIZI RIFIUTI DEL NOVESE;TORTONESE;ACQUESE ED OVADESE';3267,33;10439,967;19411,949999999997;1027,5062;608,3956000000001;4428,1061;496,61;67,59199999999998;247,051;7543,4768;
Alluvioni Cambiò;01006006;2013;CONSORZIO SERVIZI RIFIUTI DEL NOVESE;TORTONESE;ACQUESE ED OVADESE';3222,86;10757,26;19062,23;1347,31;788,9680000000001;4456,94;575,765;92,07199999999999;247,198;7051,6449999999995;
Altavilla Monferrato;01006007;2010;Comune;506;4,2;3,804;36,245;39,81;0;1,7739;20,4003;3,12;0;0;36,7;
Altavilla Monferrato;01006007;2011;Comune;497;7,76;5,496;51,99;39,714999999999996;0;1,5737;18,0979;2,14;0,04;0;35,48;
Altavilla Monferrato;01006007;2012;CONSORZIO DI BACINO ALESSANDRINO;292.590;447,59;2936,52;8691,3257;14808,24;1666,0153;492,2413;3776,3026;685,367;128,017;324,418;5508,6083;
Altavilla Monferrato;01006007;2013;CONSORZIO DI BACINO ALESSANDRINO;300.720;911,317;2190,684;9176,519;13694,97;1588,489;614,875;3673,6079999999997;899,933;127,331;340,34000000000003;5086,359;
Alzano Scrivia;01006008;2010;Comune;380;0;19,0398;20,0741;58,125;43,829699999999995;0;0,7616;2,251;0,11;0;21,24;
Alzano Scrivia;01006008;2011;Comune;380;0;10,74;19,0424;79,352;4,3075;0;0,7179;1,494;0;0,17;18,48;
Alzano Scrivia;01006008;2012;CONSORZIO SERVIZI RIFIUTI DEL NOVESE;TORTONESE;ACQUESE ED OVADESE';3267,33;10439,967;19411,949999999997;1027,5062;608,3956000000001;4428,1061;496,61;67,59199999999998;247,051;7543,4768;
Alzano Scrivia;01006008;2013;CONSORZIO SERVIZI RIFIUTI DEL NOVESE;TORTONESE;ACQUESE ED OVADESE';3222,86;10757,26;19062,23;1347,31;788,9680000000001;4456,94;575,765;92,07199999999999;247,198;7051,6449999999995;
Arquata Scrivia;01006009;2010;Comune;6.260;0;46,2906;351,88280000000003;258,54;277,3083;0,467;12,2789;1,446;1,064;0;212,76;
Arquata Scrivia;01006009;2011;Comune;6.068;0;55,1508;370,1787;503,621;80,91319999999999;1,058;12,389;1,879;1,573;0;205,1;
Arquata Scrivia;01006009;2012;CONSORZIO SERVIZI RIFIUTI DEL NOVESE;TORTONESE;ACQUESE ED OVADESE';3267,33;10439,967;19411,949999999997;1027,5062;608,3956000000001;4428,1061;496,61;67,59199999999998;247,051;7543,4768;
Arquata Scrivia;01006009;2013;CONSORZIO SERVIZI RIFIUTI DEL NOVESE;TORTONESE;ACQUESE ED OVADESE';3222,86;10757,26;19062,23;1347,31;788,9680000000001;4456,94;575,765;92,07199999999999;247,198;7051,6449999999995;
Avolasca;01006010;2010;Comune;298;0,111;3,3966;12,357;0,097;4,7157;3,06;0,4133;0,02;0,008;0;11,525;
Avolasca;01006010;2011;Comune;306;0,001;3,6774;12,1139;0,776;3,8786;2,344;0,4091;0,017;0,019;0;10,988;
Avolasca;01006010;2012;CONSORZIO SERVIZI RIFIUTI DEL NOVESE;TORTONESE;ACQUESE ED OVADESE';3267,33;10439,967;19411,949999999997;1027,5062;608,3956000000001;4428,1061;496,61;67,59199999999998;247,051;7543,4768;
Avolasca;01006010;2013;CONSORZIO SERVIZI RIFIUTI DEL NOVESE;TORTONESE;ACQUESE ED OVADESE';3222,86;10757,26;19062,23;1347,31;788,9680000000001;4456,94;575,765;92,07199999999999;247,198;7051,6449999999995;
Balzola;01006011;2010;Comune;1.424;0,038;5,4342;113,898;96,649;0,18;0,91;30,526;5,505;0,211;5,8;47,81;
Balzola;01006011;2011;Comune;1.420;0,19;6,0774;108,58;98,675;5,58;1,814;31,56;5,106;0,21100000000000002;5,68;43,95;
Balzola;01006011;2012;Comune;1.413;0,437;88,834;104,73;110,08500000000001;3,24;0,196;32,599;4,415;0,293;5,34;46,45;
Balzola;01006011;2013;Comune;1.375;0,088;77,225;122,64;48,22;6,39;0,41;35,03;3,933;0,289;0;43,022999999999996;
Basaluzzo;01006012;2010;Comune;2.113;0,14;26,7282;187,4371;134,26;290,34;2,263;7,2158;4,851;0,42300000000000004;0;57,51;
Basaluzzo;01006012;2011;Comune;2.071;0;15,7338;164,9595;396,832;50,6962;4,225;6,7594;8,287;1,4540000000000002;0;71,88;
Basaluzzo;01006012;2012;CONSORZIO SERVIZI RIFIUTI DEL NOVESE;TORTONESE;ACQUESE ED OVADESE';3267,33;10439,967;19411,949999999997;1027,5062;608,3956000000001;4428,1061;496,61;67,59199999999998;247,051;7543,4768;
Basaluzzo;01006012;2013;CONSORZIO SERVIZI RIFIUTI DEL NOVESE;TORTONESE;ACQUESE ED OVADESE';3222,86;10757,26;19062,23;1347,31;788,9680000000001;4456,94;575,765;92,07199999999999;247,198;7051,6449999999995;
Bassignana;01006013;2010;Comune;1.772;0;27,096;55,395;213,7;11,66;10,754100000000001;43,4019;1,76;0;0;64,26;
Bassignana;01006013;2011;Comune;1.742;4,66;0;54,897;245,16;22,5;15,1854;40,5417;0;0;0;53,76;
Bassignana;01006013;2012;CONSORZIO DI BACINO ALESSANDRINO;292.590;447,59;2936,52;8691,3257;14808,24;1666,0153;492,2413;3776,3026;685,367;128,017;324,418;5508,6083;
Bassignana;01006013;2013;CONSORZIO DI BACINO ALESSANDRINO;300.720;911,317;2190,684;9176,519;13694,97;1588,489;614,875;3673,6079999999997;899,933;127,331;340,34000000000003;5086,359;
Belforte Monferrato;01006014;2010;Comune;501;0,3;0;302,47619999999995;47,2;7,6787;0;17,6831;0;0,4;0;25,2;
Belforte Monferrato;01006014;2011;Comune;505;0,56;0,528;237,5112;30;11,6704;5,48;15,188400000000001;2,63;0,8500000000000001;0;20,14;
Belforte Monferrato;01006014;2012;CONSORZIO SERVIZI RIFIUTI DEL NOVESE;TORTONESE;ACQUESE ED OVADESE';3267,33;10439,967;19411,949999999997;1027,5062;608,3956000000001;4428,1061;496,61;67,59199999999998;247,051;7543,4768;
Belforte Monferrato;01006014;2013;CONSORZIO SERVIZI RIFIUTI DEL NOVESE;TORTONESE;ACQUESE ED OVADESE';3222,86;10757,26;19062,23;1347,31;788,9680000000001;4456,94;575,765;92,07199999999999;247,198;7051,6449999999995;
Bergamasco;01006015;2010;Comune;780;3,44;16,968;30,465;117,66;12,52;14,589;31,6133;7,5;0,34;0;30,5;
Bergamasco;01006015;2011;Comune;765;1,76;12,732;32,94;94,02;13,1;2,6683;30,6852;6,96;1,137;0;27,86;
Bergamasco;01006015;2012;CONSORZIO DI BACINO ALESSANDRINO;292.590;447,59;2936,52;8691,3257;14808,24;1666,0153;492,2413;3776,3026;685,367;128,017;324,418;5508,6083;
Bergamasco;01006015;2013;CONSORZIO DI BACINO ALESSANDRINO;300.720;911,317;2190,684;9176,519;13694,97;1588,489;614,875;3673,6079999999997;899,933;127,331;340,34000000000003;5086,359;
Berzano di Tortona;01006016;2010;Comune;170;0,062;1,887;6,8659;0,054;2,6196;1,7;0,2296;0,011;0,005;0;6,402;
Berzano di Tortona;01006016;2011;Comune;171;0,001;2,1408;7,0532;0,45199999999999996;2,2580999999999998;1,365;0,2382;0,011;0,011;0;6,396;
Berzano di Tortona;01006016;2012;CONSORZIO SERVIZI RIFIUTI DEL NOVESE;TORTONESE;ACQUESE ED OVADESE';3267,33;10439,967;19411,949999999997;1027,5062;608,3956000000001;4428,1061;496,61;67,59199999999998;247,051;7543,4768;
Berzano di Tortona;01006016;2013;CONSORZIO SERVIZI RIFIUTI DEL NOVESE;TORTONESE;ACQUESE ED OVADESE';3222,86;10757,26;19062,23;1347,31;788,9680000000001;4456,94;575,765;92,07199999999999;247,198;7051,6449999999995;
Bistagno;01006017;2010;Comune;1.944;0;26,208;133,8254;91,72;85,7485;1,9;5,8781;0;0,19999999999999998;3,764;59,25;
Bistagno;01006017;2011;Comune;1.930;0,22;14,508;126,8564;152,82;32,8488;2,02;5,1048;5,97;0,5;11,513;80,54;
Bistagno;01006017;2012;CONSORZIO SERVIZI RIFIUTI DEL NOVESE;TORTONESE;ACQUESE ED OVADESE';3267,33;10439,967;19411,949999999997;1027,5062;608,3956000000001;4428,1061;496,61;67,59199999999998;247,051;7543,4768;
Bistagno;01006017;2013;CONSORZIO SERVIZI RIFIUTI DEL NOVESE;TORTONESE;ACQUESE ED OVADESE';3222,86;10757,26;19062,23;1347,31;788,9680000000001;4456,94;575,765;92,07199999999999;247,198;7051,6449999999995;
Borghetto di Borbera;01006018;2010;Comune;2.009;2,22;34,512;56,1934;43,92;243,8645;93,44;1,9541;0,66;3,87;0;80,16;
Borghetto di Borbera;01006018;2011;Comune;1.991;0;39,12;75,6154;111;190,38850000000002;72,27;9,1081;3,22;2,2800000000000002;0;95,78;
Borghetto di Borbera;01006018;2012;CONSORZIO SERVIZI RIFIUTI DEL NOVESE;TORTONESE;ACQUESE ED OVADESE';3267,33;10439,967;19411,949999999997;1027,5062;608,3956000000001;4428,1061;496,61;67,59199999999998;247,051;7543,4768;
Borghetto di Borbera;01006018;2013;CONSORZIO SERVIZI RIFIUTI DEL NOVESE;TORTONESE;ACQUESE ED OVADESE';3222,86;10757,26;19062,23;1347,31;788,9680000000001;4456,94;575,765;92,07199999999999;247,198;7051,6449999999995;
Borgoratto Alessandrino;01006019;2010;Comune;618;0;3,372;32,91;77,49000000000001;0;3,1772;29,7526;4,52;0;0;23,18;
Borgoratto Alessandrino;01006019;2011;Comune;617;0;6,204;33,1692;77,47;3,0547;3,2028;31,9815;3,72;0,28;0;23,6;
Borgoratto Alessandrino;01006019;2012;CONSORZIO DI BACINO ALESSANDRINO;292.590;447,59;2936,52;8691,3257;14808,24;1666,0153;492,2413;3776,3026;685,367;128,017;324,418;5508,6083;
Borgoratto Alessandrino;01006019;2013;CONSORZIO DI BACINO ALESSANDRINO;300.720;911,317;2190,684;9176,519;13694,97;1588,489;614,875;3673,6079999999997;899,933;127,331;340,34000000000003;5086,359;
Borgo San Martino;01006020;2010;Comune;1.465;0,55;16,3176;89,4715;62,272999999999996;25,3122;3,278;39,734399999999994;9,541;0,26;4,71;50,6;
Borgo San Martino;01006020;2011;Comune;1.470;0,913;22,4628;96,175;74,853;24,612;3,081;40,932;7,059;0,398;4,35;45,37;
Borgo San Martino;01006020;2012;Comune;1.478;1,589;43,858;80,17999999999999;11,331;11,34;0,872;43,985;7,202999999999999;0,339;4,35;51,54;
Borgo San Martino;01006020;2013;Comune;1.476;1,646;39,039;74,648;73,412;12,378;1,498;44,36;4,407;0,442;0;47,739000000000004;
Bosco Marengo;01006021;2010;Comune;2.551;0,92;35,808;126,425;350,09000000000003;33,62;9,0621;104,2145;16,57;0,32;0;87,54;
Bosco Marengo;01006021;2011;Comune;2.531;1,02;43,368;118,655;343,54;41,14;8,775;100,9126;12,38;1,12;0,46;82,11;
Bosco Marengo;01006021;2012;CONSORZIO DI BACINO ALESSANDRINO;292.590;447,59;2936,52;8691,3257;14808,24;1666,0153;492,2413;3776,3026;685,367;128,017;324,418;5508,6083;
Bosco Marengo;01006021;2013;CONSORZIO DI BACINO ALESSANDRINO;300.720;911,317;2190,684;9176,519;13694,97;1588,489;614,875;3673,6079999999997;899,933;127,331;340,34000000000003;5086,359;
Bosio;01006022;2010;Comune;1.239;0;12,4554;32,4703;0;6,6724000000000006;0;1,1102;0,18;0,12;0;42,55;
Bosio;01006022;2011;Comune;1.240;0;13,212;38,947;0;8,7523;1,6;1,1887;3,57;0,02;0;40,08;
Bosio;01006022;2012;CONSORZIO SERVIZI RIFIUTI DEL NOVESE;TORTONESE;ACQUESE ED OVADESE';3267,33;10439,967;19411,949999999997;1027,5062;608,3956000000001;4428,1061;496,61;67,59199999999998;247,051;7543,4768;
Bosio;01006022;2013;CONSORZIO SERVIZI RIFIUTI DEL NOVESE;TORTONESE;ACQUESE ED OVADESE';3222,86;10757,26;19062,23;1347,31;788,9680000000001;4456,94;575,765;92,07199999999999;247,198;7051,6449999999995;
Bozzole;01006023;2010;Comune;315;0,05;1,8684;31,915;47,790000000000006;0,088;0,014;9,594;0,513;0,089;0,29;13,48;
Bozzole;01006023;2011;Comune;331;0,085;4,1664;33,785;39,515;0,49;0,08;10,459;1,248;0,08399999999999999;0,2;19,3;
Bozzole;01006023;2012;Comune;323;0,076;7,145;30,52;52,22;1,52;0,053;9,72;1,7850000000000001;0,165;0,16;18,27;
Bozzole;01006023;2013;Comune;326;0,38;3,714;28,319999999999997;47,910000000000004;0,298;0;10,42;1,2770000000000001;0,155;0;14,95;
Brignano-Frascata;01006024;2010;Comune;456;0,166;5,073;18,4566;0,145;7,0425;4,57;0,6173;0,03;0,013;0;17,212;
Brignano-Frascata;01006024;2011;Comune;451;0,002;5,6418;18,5852;1,19;5,9497;3,597;0,6276;0,028;0,029;0;16,858;
Brignano-Frascata;01006024;2012;CONSORZIO SERVIZI RIFIUTI DEL NOVESE;TORTONESE;ACQUESE ED OVADESE';3267,33;10439,967;19411,949999999997;1027,5062;608,3956000000001;4428,1061;496,61;67,59199999999998;247,051;7543,4768;
Brignano-Frascata;01006024;2013;CONSORZIO SERVIZI RIFIUTI DEL NOVESE;TORTONESE;ACQUESE ED OVADESE';3222,86;10757,26;19062,23;1347,31;788,9680000000001;4456,94;575,765;92,07199999999999;247,198;7051,6449999999995;
Cabella Ligure;01006025;2010;Comune;576;0;17,361;29,767;0;17,7107;6,582;0,9411;0;0;0;22,448;
Cabella Ligure;01006025;2011;Comune;554;0;14,9754;29,0331;0;15,48;3,935;0,9995;0;0;0;29,881;
Cabella Ligure;01006025;2012;CONSORZIO SERVIZI RIFIUTI DEL NOVESE;TORTONESE;ACQUESE ED OVADESE';3267,33;10439,967;19411,949999999997;1027,5062;608,3956000000001;4428,1061;496,61;67,59199999999998;247,051;7543,4768;
Cabella Ligure;01006025;2013;CONSORZIO SERVIZI RIFIUTI DEL NOVESE;TORTONESE;ACQUESE ED OVADESE';3222,86;10757,26;19062,23;1347,31;788,9680000000001;4456,94;575,765;92,07199999999999;247,198;7051,6449999999995;
Camagna Monferrato;01006026;2010;Comune;533;0,24;7,5648;26,117;13,129999999999999;0;0;14,955;2,095;0,091;1,49;25,71;
Camagna Monferrato;01006026;2011;Comune;510;0,075;4,3614;29,86;7,5600000000000005;0,26;0,11;17,096;2,051;0,10500000000000001;1,64;21,36;
Camagna Monferrato;01006026;2012;Comune;512;0,13;10,316;21,415;10,157;0,467;0,036;12,019;2,287;0,23399999999999999;1,3;22,89;
Camagna Monferrato;01006026;2013;Comune;531;0,368;10,198;20,796;13,19;0,74;0,88;13,73;1,464;0,116;0;21,997999999999998;
Camino;01006027;2010;Comune;810;0,53;20,4084;46,134;12,07;0,05;0,212;21,355;4,82;0,198;1,15;41,42;
Camino;01006027;2011;Comune;802;0,865;14,8836;42,455;14,713000000000001;0,82;0,39;24,414;3,53;0,17099999999999999;1,57;50,65;
Camino;01006027;2012;Comune;797;0,28;24,284;42,64;17,176000000000002;0,39;0,097;23,556;3,465;0,223;1,22;47,9;
Camino;01006027;2013;Comune;802;0,237;18,913;43,61;18,968;0,59;0;23,83;2,911;0,24700000000000003;0;36,26;
Cantalupo Ligure;01006028;2010;Comune;559;0;16,8486;28,8882;0;17,1871;6,388;0,9132;0;0;0;21,786;
Cantalupo Ligure;01006028;2011;Comune;549;0;14,3778;27,8744;0;14,862099999999998;3,779;0,9597;0;0;0;28,69;
Cantalupo Ligure;01006028;2012;CONSORZIO SERVIZI RIFIUTI DEL NOVESE;TORTONESE;ACQUESE ED OVADESE';3267,33;10439,967;19411,949999999997;1027,5062;608,3956000000001;4428,1061;496,61;67,59199999999998;247,051;7543,4768;
Cantalupo Ligure;01006028;2013;CONSORZIO SERVIZI RIFIUTI DEL NOVESE;TORTONESE;ACQUESE ED OVADESE';3222,86;10757,26;19062,23;1347,31;788,9680000000001;4456,94;575,765;92,07199999999999;247,198;7051,6449999999995;
Capriata d\'Orba;01006029;2010;Comune;1.950;0;24,1242;104,6361;109,48;181,2964;2,224;4,4986;4,191;0,7620000000000001;0;61;
Capriata d\'Orba;01006029;2011;Comune;1.926;0;9,1758;102,1003;242,602;36,5698;4,15;4,405;7,892;0,6419999999999999;0;66,99;
Capriata d\'Orba;01006029;2012;CONSORZIO SERVIZI RIFIUTI DEL NOVESE;TORTONESE;ACQUESE ED OVADESE';3267,33;10439,967;19411,949999999997;1027,5062;608,3956000000001;4428,1061;496,61;67,59199999999998;247,051;7543,4768;
Capriata d\'Orba;01006029;2013;CONSORZIO SERVIZI RIFIUTI DEL NOVESE;TORTONESE;ACQUESE ED OVADESE';3222,86;10757,26;19062,23;1347,31;788,9680000000001;4456,94;575,765;92,07199999999999;247,198;7051,6449999999995;
Carbonara Scrivia;01006030;2010;Comune;1.074;0;12,936;50,268299999999996;0;123,8494;0;1,9382;0,04;0,354;0;26,6;
Carbonara Scrivia;01006030;2011;Comune;1.055;0;10,26;38,785;88,08;12,2083;0;2,0347;0;0,06;0;22,76;
Carbonara Scrivia;01006030;2012;CONSORZIO SERVIZI RIFIUTI DEL NOVESE;TORTONESE;ACQUESE ED OVADESE';3267,33;10439,967;19411,949999999997;1027,5062;608,3956000000001;4428,1061;496,61;67,59199999999998;247,051;7543,4768;
Carbonara Scrivia;01006030;2013;CONSORZIO SERVIZI RIFIUTI DEL NOVESE;TORTONESE;ACQUESE ED OVADESE';3222,86;10757,26;19062,23;1347,31;788,9680000000001;4456,94;575,765;92,07199999999999;247,198;7051,6449999999995;
Carentino;01006031;2010;Comune;341;1,66;3,108;9,55;21,439999999999998;2,7;1,9285999999999999;10,6785;2,96;0;0;15,82;
Carentino;01006031;2011;Comune;325;0;3,684;9,49;28,11;4;2,8475;8,3663;2,54;0,41000000000000003;0;19,46;
Carentino;01006031;2012;CONSORZIO DI BACINO ALESSANDRINO;292.590;447,59;2936,52;8691,3257;14808,24;1666,0153;492,2413;3776,3026;685,367;128,017;324,418;5508,6083;
Carentino;01006031;2013;CONSORZIO DI BACINO ALESSANDRINO;300.720;911,317;2190,684;9176,519;13694,97;1588,489;614,875;3673,6079999999997;899,933;127,331;340,34000000000003;5086,359;
Carezzano;01006032;2010;Comune;448;0;6,8586;31,1265;20,293;27,1442;0;1,2874;0,16;0,06;0;14,78;
Carezzano;01006032;2011;Comune;444;0;10,5222;29,716;43,672;6,6653;0;1,1109;0,26;0,18;0;17,1;
Carezzano;01006032;2012;CONSORZIO SERVIZI RIFIUTI DEL NOVESE;TORTONESE;ACQUESE ED OVADESE';3267,33;10439,967;19411,949999999997;1027,5062;608,3956000000001;4428,1061;496,61;67,59199999999998;247,051;7543,4768;
Carezzano;01006032;2013;CONSORZIO SERVIZI RIFIUTI DEL NOVESE;TORTONESE;ACQUESE ED OVADESE';3222,86;10757,26;19062,23;1347,31;788,9680000000001;4456,94;575,765;92,07199999999999;247,198;7051,6449999999995;
Carpeneto;01006033;2010;Comune;966;0;18,864;34,2226;0;10,2075;0;1,5379;0;0;2,5;22,28;
Carpeneto;01006033;2011;Comune;991;0;13,632;31,4166;0;9,7289;1,89;1,3565;3,63;0;2,67;28,35;
Carpeneto;01006033;2012;CONSORZIO SERVIZI RIFIUTI DEL NOVESE;TORTONESE;ACQUESE ED OVADESE';3267,33;10439,967;19411,949999999997;1027,5062;608,3956000000001;4428,1061;496,61;67,59199999999998;247,051;7543,4768;
Carpeneto;01006033;2013;CONSORZIO SERVIZI RIFIUTI DEL NOVESE;TORTONESE;ACQUESE ED OVADESE';3222,86;10757,26;19062,23;1347,31;788,9680000000001;4456,94;575,765;92,07199999999999;247,198;7051,6449999999995;
Carrega Ligure;01006034;2010;Comune;85;0;2,5614;4,3927;0;2,6119;0,971;0,1388;0;0;0;3,313;
Carrega Ligure;01006034;2011;Comune;83;0;2,232;4,3274;0;2,3068;0,586;0,149;0;0;0;4,454;
Carrega Ligure;01006034;2012;CONSORZIO SERVIZI RIFIUTI DEL NOVESE;TORTONESE;ACQUESE ED OVADESE';3267,33;10439,967;19411,949999999997;1027,5062;608,3956000000001;4428,1061;496,61;67,59199999999998;247,051;7543,4768;
Carrega Ligure;01006034;2013;CONSORZIO SERVIZI RIFIUTI DEL NOVESE;TORTONESE;ACQUESE ED OVADESE';3222,86;10757,26;19062,23;1347,31;788,9680000000001;4456,94;575,765;92,07199999999999;247,198;7051,6449999999995;
Carrosio;01006035;2010;Comune;482;0;5,946;27,5432;0;5,9277;0;0,9871;0;0;0;28,14;
Carrosio;01006035;2011;Comune;481;0;2,994;29,1815;0;5,6438;0,68;0,8906;0,51;0,1;0;24,15;
Carrosio;01006035;2012;CONSORZIO SERVIZI RIFIUTI DEL NOVESE;TORTONESE;ACQUESE ED OVADESE';3267,33;10439,967;19411,949999999997;1027,5062;608,3956000000001;4428,1061;496,61;67,59199999999998;247,051;7543,4768;
Carrosio;01006035;2013;CONSORZIO SERVIZI RIFIUTI DEL NOVESE;TORTONESE;ACQUESE ED OVADESE';3222,86;10757,26;19062,23;1347,31;788,9680000000001;4456,94;575,765;92,07199999999999;247,198;7051,6449999999995;
Cartosio;01006036;2010;Comune;817;0;4,44;27,5703;0;7,9618;0;1,327;0;0,07;0;45,94;
Cartosio;01006036;2011;Comune;811;0,3;6,6;26,3715;0;7,2638;0,7;1,1606;1,26;0,15;0;37,5;
Cartosio;01006036;2012;CONSORZIO SERVIZI RIFIUTI DEL NOVESE;TORTONESE;ACQUESE ED OVADESE';3267,33;10439,967;19411,949999999997;1027,5062;608,3956000000001;4428,1061;496,61;67,59199999999998;247,051;7543,4768;
Cartosio;01006036;2013;CONSORZIO SERVIZI RIFIUTI DEL NOVESE;TORTONESE;ACQUESE ED OVADESE';3222,86;10757,26;19062,23;1347,31;788,9680000000001;4456,94;575,765;92,07199999999999;247,198;7051,6449999999995;
Casal Cermelli;01006037;2010;Comune;1.263;0;7,044;61,9;101,56;14,76;4,7192;54,2713;7,08;0,42000000000000004;0;46,12;
Casal Cermelli;01006037;2011;Comune;1.235;0,7;8,568;59,295;107,27;9,48;8,092500000000001;58,5638;6,12;0,33999999999999997;0;41,034;
Casal Cermelli;01006037;2012;CONSORZIO DI BACINO ALESSANDRINO;292.590;447,59;2936,52;8691,3257;14808,24;1666,0153;492,2413;3776,3026;685,367;128,017;324,418;5508,6083;
Casal Cermelli;01006037;2013;CONSORZIO DI BACINO ALESSANDRINO;300.720;911,317;2190,684;9176,519;13694,97;1588,489;614,875;3673,6079999999997;899,933;127,331;340,34000000000003;5086,359;
Casaleggio Boiro;01006038;2010;Comune;420;0;0,081;20,7561;0;4,3153999999999995;0;0,7186;0;0;0;17,54;
Casaleggio Boiro;01006038;2011;Comune;401;0;6,06;19,2607;0;4,6202000000000005;0,23;0,635;0,905;0;0;13,5;
Casaleggio Boiro;01006038;2012;CONSORZIO SERVIZI RIFIUTI DEL NOVESE;TORTONESE;ACQUESE ED OVADESE';3267,33;10439,967;19411,949999999997;1027,5062;608,3956000000001;4428,1061;496,61;67,59199999999998;247,051;7543,4768;
Casaleggio Boiro;01006038;2013;CONSORZIO SERVIZI RIFIUTI DEL NOVESE;TORTONESE;ACQUESE ED OVADESE';3222,86;10757,26;19062,23;1347,31;788,9680000000001;4456,94;575,765;92,07199999999999;247,198;7051,6449999999995;
Casale Monferrato;01006039;2010;Comune;36.069;8,491;54,924;2724,5919;3907,064;559,785;113,074;958,1212;300,852;9,83;123,353;1355,896;
Casale Monferrato;01006039;2011;Comune;34.812;16,035;618,4638;2748,85;3830,2780000000002;614,326;106,837;1005,257;377,261;17,625;123,828;1368,514;
Casale Monferrato;01006039;2012;Comune;34.735;14,055;784,697;2550,8625;3703,911;569,9184;50,9965;1011,2072;302,905;11,082;106,69;1358,4679999999998;
Casale Monferrato;01006039;2013;Comune;34.929;16,251;893,161;2487,354;4219,321;664,7320000000001;50,099;1039,429;253,835;15,107;0,171;1429,064;
Casalnoceto;01006040;2010;Comune;1.007;0;7,476;60,7467;20,1;26,4266;0;2,2711;1,06;0,075;0;34,92;
Casalnoceto;01006040;2011;Comune;1.015;0;15,312;60,0621;41,66;13,379;0;2,2298;0,44;0,1;0;40,2;
Casalnoceto;01006040;2012;CONSORZIO SERVIZI RIFIUTI DEL NOVESE;TORTONESE;ACQUESE ED OVADESE';3267,33;10439,967;19411,949999999997;1027,5062;608,3956000000001;4428,1061;496,61;67,59199999999998;247,051;7543,4768;
Casalnoceto;01006040;2013;CONSORZIO SERVIZI RIFIUTI DEL NOVESE;TORTONESE;ACQUESE ED OVADESE';3222,86;10757,26;19062,23;1347,31;788,9680000000001;4456,94;575,765;92,07199999999999;247,198;7051,6449999999995;
Casasco;01006041;2010;Comune;125;0,045;1,3878;5,0481;0,04;1,926;1,248;0,1688;0,006;0,003;0;4,708;
Casasco;01006041;2011;Comune;124;0;1,5996;5,2664;0,337;1,6854999999999998;1,02;0,1779;0,008;0,008;0;4,779;
Casasco;01006041;2012;CONSORZIO SERVIZI RIFIUTI DEL NOVESE;TORTONESE;ACQUESE ED OVADESE';3267,33;10439,967;19411,949999999997;1027,5062;608,3956000000001;4428,1061;496,61;67,59199999999998;247,051;7543,4768;
Casasco;01006041;2013;CONSORZIO SERVIZI RIFIUTI DEL NOVESE;TORTONESE;ACQUESE ED OVADESE';3222,86;10757,26;19062,23;1347,31;788,9680000000001;4456,94;575,765;92,07199999999999;247,198;7051,6449999999995;
Cassano Spinola;01006042;2010;Comune;1.852;0;16,968;83,7448;62,58;29,101599999999998;0;2,9736;0;0,42;0;52,46;
Cassano Spinola;01006042;2011;Comune;1.793;0;18,72;74,0491;61,2;15,863;0;2,6438;0;0,33999999999999997;0;51,44;
